"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp"
"SI","2022-09-27","96.2","-1.51","5.91","Trivino, Lou",665489,642152,"field_out","hit_into_play",,,,,4,"Vladimir Guerrero Jr.  grounds out, third baseman Josh Donaldson to first baseman Anthony Rizzo.","R","R","R","TOR","NYY","X",5,"ground_ball",1,1,2022,"-1.45","0.64","-0.77","2.41",,,,1,9,"Bot",110.17,160.04,,,543309,,,5.247823188176375,-139.94981322614026,-5.163786338114936,-20.293594977656223,31.743547609743395,-22.727908518002135,"3.64","1.7",2,"71.1",-54,"96.2",1925,"6.3",661778,642152,543309,519203,650402,518626,643396,543305,664056,592450,"54.19",0.243,0.237,"0",1,0,0,2,72,3,"Sinker",2,5,2,5,5,2,2,5,"Strategic","Standard",233,"-0.012","-0.148"
"CH","2022-09-27","89.4","-1.65","5.95","Trivino, Lou",665489,642152,,"called_strike",,,,,4,"Vladimir Guerrero Jr.  grounds out, third baseman Josh Donaldson to first baseman Anthony Rizzo.","R","R","R","TOR","NYY","S",,,1,0,2022,"-1.37","0.27","-0.62","2.48",,,,1,9,"Bot",,,,,543309,,,5.391386767327721,-130.08180437597858,-3.0603738788321326,-16.634947303611334,28.553864067360944,-28.688419011528563,"3.53","1.7",,,,"88.8",1863,"6",661778,642152,543309,519203,650402,518626,643396,543305,664056,592450,"54.46",,,,,,,,72,2,"Changeup",2,5,2,5,5,2,2,5,"Strategic","Standard",256,"0","-0.031"
"SI","2022-09-27","96.7","-1.48","5.94","Trivino, Lou",665489,642152,,"ball",,,,,11,"Vladimir Guerrero Jr.  grounds out, third baseman Josh Donaldson to first baseman Anthony Rizzo.","R","R","R","TOR","NYY","B",,,0,0,2022,"-1.43","0.53","-2.02","3.75",,,,1,9,"Bot",,,,,543309,,,1.7943316879294875,-140.88067565407204,-1.4771141315858154,-19.41442804049809,32.96682749372689,-24.96817435133466,"3.5","1.7",,,,"96.4",2003,"6.1",661778,642152,543309,519203,650402,518626,643396,543305,664056,592450,"54.39",,,,,,,,72,1,"Sinker",2,5,2,5,5,2,2,5,"Strategic","Standard",226,"0","0.023"
"SL","2022-09-27","83.4","-1.4","6.03","Trivino, Lou",666182,642152,"strikeout","swinging_strike",,,,,14,"Bo Bichette strikes out swinging.","R","R","R","TOR","NYY","S",2,,1,2,2022,"1.3","0","1.71","2.07",,,,0,9,"Bot",,,,,543309,,,4.5769809989098755,-121.30431934529433,-2.6281248471289245,11.828480674469118,25.399165944138318,-31.821919400858583,"3.63","1.65",,,,"83",2638,"6.2",661778,642152,543309,519203,650402,518626,643396,543305,664056,592450,"54.3",,,"0",1,0,0,,71,5,"Slider",2,5,2,5,5,2,2,5,"Standard","Strategic",64,"-0.021","-0.158"
"FF","2022-09-27","96.9","-1.54","5.97","Trivino, Lou",666182,642152,,"foul",,,,,3,"Bo Bichette strikes out swinging.","R","R","R","TOR","NYY","S",,,1,2,2022,"-0.89","1.35","0.47","3.75",,,,0,9,"Bot",,,,,543309,,,7.390079965100162,-140.8029255368505,-3.3983600880033795,-13.614647402960982,35.9538153404975,-13.695319570761205,"3.63","1.65",224,"76.9",42,"96.3",2042,"6.3",661778,642152,543309,519203,650402,518626,643396,543305,664056,592450,"54.17",,,,,,,,71,4,"4-Seam Fastball",2,5,2,5,5,2,2,5,"Standard","Strategic",232,"0","0"
"SI","2022-09-27","96.3","-1.57","5.89","Trivino, Lou",666182,642152,,"foul",,,,,4,"Bo Bichette strikes out swinging.","R","R","R","TOR","NYY","S",,,1,1,2022,"-1.3","0.72","-0.58","2.43",,,,0,9,"Bot",,,,,543309,,,5.571839550970294,-140.06107287621444,-5.216564763890899,-18.43228669393307,33.07052778783575,-21.69184467377337,"3.63","1.65",211,"73.8",27,"96",2028,"6.3",661778,642152,543309,519203,650402,518626,643396,543305,664056,592450,"54.25",,,,,,,,71,3,"Sinker",2,5,2,5,5,2,2,5,"Standard","Strategic",226,"0","-0.054"
"SL","2022-09-27","84.5","-1.42","6.04","Trivino, Lou",666182,642152,,"ball",,,,,14,"Bo Bichette strikes out swinging.","R","R","R","TOR","NYY","B",,,0,1,2022,"1.36","0.3","2.04","0.42",,,,0,9,"Bot",,,,,543309,,,5.3102363523667515,-122.82500855655321,-7.222701568305871,12.498462083458199,27.101134092697706,-27.744884821229356,"3.55","1.65",,,,"83.6",2633,"6",661778,642152,543309,519203,650402,518626,643396,543305,664056,592450,"54.48",,,,,,,,71,2,"Slider",2,5,2,5,5,2,2,5,"Standard","Strategic",59,"0","0.025"
"SI","2022-09-27","96.5","-1.4","5.98","Trivino, Lou",666182,642152,,"called_strike",,,,,8,"Bo Bichette strikes out swinging.","R","R","R","TOR","NYY","S",,,0,0,2022,"-1.52","0.54","0.26","1.73",,,,0,9,"Bot",,,,,543309,,,7.825177258799974,-140.16356364117638,-6.952251543364358,-21.83998320719072,31.585626865645157,-23.649237634565146,"3.6","1.65",,,,"96.2",2011,"6.2",661778,642152,543309,519203,650402,518626,643396,543305,664056,592450,"54.32",,,,,,,,71,1,"Sinker",2,5,2,5,5,2,2,5,"Standard","Strategic",233,"0","-0.034"
"SL","2022-09-27","81.9","-1.57","6.09","Trivino, Lou",543807,642152,"grounded_into_double_play","hit_into_play",,,,,6,"George Springer grounds into a double play, shortstop Isiah Kiner-Falefa to second baseman Gleyber Torres to first baseman Anthony Rizzo.   Cavan Biggio out at 2nd.    George Springer out at 1st.","R","R","R","TOR","NYY","X",6,"ground_ball",0,0,2022,"0.91","0.27","0.33","2.52",,606132,624415,1,8,"Bot",117.23,165.16,,,543309,,,2.5139824351118847,-119.31399727127648,-2.0304670629576798,8.223471196810003,23.42305043106332,-29.37843175808034,"3.55","1.6",54,"103.5",0,"81.5",2660,"6",661778,642152,543309,519203,650402,518626,643396,543305,664056,592450,"54.49",0.469,0.441,"0",1,0,0,4,67,1,"Slider",2,5,2,5,5,2,2,5,"Standard","Standard",60,"-0.107","-0.614"
"SL","2022-09-26","82.1","-1.51","6.05","Trivino, Lou",665489,642152,"field_out","hit_into_play",,,,,6,"Vladimir Guerrero Jr.  pops out to second baseman Gleyber Torres.","R","R","R","TOR","NYY","X",4,"popup",3,2,2022,"1.8","-0.02","0.71","2.45",,,666182,2,5,"Bot",141.27,133.56,,,624431,,,1.5269559453093051,-119.49406942215691,-1.5110580098701876,16.83530943400428,25.121780482103585,-32.264575700470076,"3.64","1.71",210,"67.8",43,"81.9",2658,"6.3",661768,642152,624431,519203,650402,518626,643396,665828,664056,592450,"54.17",0.369,0.354,"0",1,0,0,3,39,7,"Slider",2,2,2,2,2,2,2,2,"Standard","Standard",58,"-0.031","-0.257"
